


Run Date,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
 04/16/2018, CONTRIBUTION         VS X86-337692-1     SEP CONTRIBUTION, , No Description,Cash,,,,,,255.58, 
 04/11/2018, YOU BOUGHT, 750459109, RADISYS CORP *CASH MERGER AT $1.72 PER ,Cash,130,0.69, 4.95,,,-94.94, 04/13/2018
 04/11/2018, YOU BOUGHT, CNET, CHINANET ONLINE HOLDINGS INC COM USD0.0,Cash,1000,2.62, 4.95,,,-2619.95, 04/13/2018
 04/09/2018, YOU BOUGHT, 750459109, RADISYS CORP *CASH MERGER AT $1.72 PER ,Cash,70,0.68, 4.95,,,-52.35, 04/11/2018
 04/06/2018, YOU SOLD, TNDM, TANDEM DIABETES CARE INC COM NEW,Cash,-500,5.62, 4.95,0.07,,2807.48, 04/10/2018
 04/06/2018, YOU BOUGHT, 286221106, ELEVEN BIOTHERAPEUTICS INC COM,Cash,100,1.42, 4.95,,,-146.45, 04/10/2018
 04/06/2018, YOU BOUGHT, 12542Q508, CHF SOLUTIONS INC COM NEW 1 FOR 14 R/S ,Cash,100,2.88, 4.95,,,-293.41, 04/10/2018
 04/06/2018, YOU BOUGHT, APHB, AMPLIPHI BIOSCIENCES CORP COM PAR,Cash,100,1.24, 4.95,,,-128.45, 04/10/2018





"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC, 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC. Both are Fidelity Investment companies and members SIPC, NYSE."

"Date downloaded" 03/12/2019, 4:11 PM
